"","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"254093",127227,"Yelena Vyacheslavovna Volodina-Antonova","F",30,176,62,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 10 kilometres",NA
"254094",127227,"Yelena Vyacheslavovna Volodina-Antonova","F",30,176,62,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",NA
"254095",127227,"Yelena Vyacheslavovna Volodina-Antonova","F",30,176,62,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 5/5 kilometres Pursuit",NA
"254096",127227,"Yelena Vyacheslavovna Volodina-Antonova","F",30,176,62,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",NA
"254097",127227,"Yelena Vyacheslavovna Volodina-Antonova","F",34,176,62,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's 10 kilometres",NA
"254098",127227,"Yelena Vyacheslavovna Volodina-Antonova","F",38,176,62,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Women's Sprint",NA
"254108",127232,"Yevgeniya Voloshenko","F",26,160,52,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's 10 kilometres",NA
"254109",127232,"Yevgeniya Voloshenko","F",26,160,52,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's 15 km Skiathlon",NA
"254110",127232,"Yevgeniya Voloshenko","F",26,160,52,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",NA
"254120",127237,"Denis Vladimirovich Volotka","M",28,185,83,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's Sprint",NA
"254121",127237,"Denis Vladimirovich Volotka","M",28,185,83,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"254669",127492,"Nataliya Vorobyova","F",23,160,54,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Women's 100 metres",NA
"254731",127517,"Nataliya Voronova","F",22,170,55,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Rowing","Rowing Women's Lightweight Double Sculls",NA
"254797",127545,"Galina Olegovna Voskoboyeva","F",27,184,70,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Tennis","Tennis Women's Singles",NA
"254798",127545,"Galina Olegovna Voskoboyeva","F",27,184,70,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Tennis","Tennis Women's Doubles",NA
"254799",127545,"Galina Olegovna Voskoboyeva","F",31,184,70,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Tennis","Tennis Women's Doubles",NA
"255177",127749,"Irina Vyguzova","F",22,156,50,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Diving","Diving Women's Springboard",NA
"255178",127749,"Irina Vyguzova","F",22,156,50,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Diving","Diving Women's Platform",NA
"255179",127749,"Irina Vyguzova","F",26,156,50,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Diving","Diving Women's Springboard",NA
"255180",127749,"Irina Vyguzova","F",26,156,50,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Diving","Diving Women's Platform",NA
"264173",132198,"Nataliya Yakovchuk","F",26,166,60,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey Women's Ice Hockey",NA
"264187",132209,"Sergey Anatolyevich Yakovlev","M",24,175,70,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Cycling","Cycling Men's Road Race, Individual",NA
"264188",132209,"Sergey Anatolyevich Yakovlev","M",28,175,70,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Cycling","Cycling Men's Road Race, Individual",NA
"264196",132212,"Vladislav Pavlovich Yakovlev","M",19,188,85,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Rowing","Rowing Men's Single Sculls",NA
"264197",132212,"Vladislav Pavlovich Yakovlev","M",23,188,85,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Rowing","Rowing Men's Single Sculls",NA
"264201",132215,"Nataliya Yakovleva","F",21,180,63,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Handball","Handball Women's Handball",NA
"264207",132220,"Sergey Aleksandrovich Yakshin","M",32,173,67,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Shooting","Shooting Men's Skeet",NA
"265170",132709,"Oksana Aleksandrovna Yatskaya","F",19,161,54,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Women's 5 kilometres",NA
"265171",132709,"Oksana Aleksandrovna Yatskaya","F",19,161,54,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Women's 15 kilometres",NA
"265172",132709,"Oksana Aleksandrovna Yatskaya","F",19,161,54,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",NA
"265173",132709,"Oksana Aleksandrovna Yatskaya","F",19,161,54,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Women's 5/10 kilometres Pursuit",NA
"265174",132709,"Oksana Aleksandrovna Yatskaya","F",19,161,54,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",NA
"265175",132709,"Oksana Aleksandrovna Yatskaya","F",23,161,54,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 10 kilometres",NA
