"","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"63021",32306,"Aleksandr Rudolfovich Elke","M",29,190,95,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Men's Water Polo",NA
"63022",32306,"Aleksandr Rudolfovich Elke","M",33,190,95,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Water Polo","Water Polo Men's Water Polo",NA
"64806",33152,"Zhuldyz Attakurovna Eshimova (Turtbaeva-)","F",24,152,48,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Wrestling","Wrestling Women's Flyweight, Freestyle",NA
"64807",33152,"Zhuldyz Attakurovna Eshimova (Turtbaeva-)","F",28,152,48,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Wrestling","Wrestling Women's Flyweight, Freestyle",NA
"65641",33587,"Yelena Ezau","F",25,175,55,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Volleyball","Volleyball Women's Volleyball",NA
"67304",34404,"Sergey Fedorchenko","M",21,173,68,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Individual All-Around",NA
"67305",34404,"Sergey Fedorchenko","M",21,173,68,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Floor Exercise",NA
"67306",34404,"Sergey Fedorchenko","M",21,173,68,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Horse Vault",NA
"67307",34404,"Sergey Fedorchenko","M",21,173,68,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Parallel Bars",NA
"67308",34404,"Sergey Fedorchenko","M",21,173,68,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Horizontal Bar",NA
"67309",34404,"Sergey Fedorchenko","M",21,173,68,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Rings",NA
"67310",34404,"Sergey Fedorchenko","M",21,173,68,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Gymnastics","Gymnastics Men's Pommelled Horse",NA
"67311",34404,"Sergey Fedorchenko","M",25,173,68,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Gymnastics","Gymnastics Men's Individual All-Around",NA
"67312",34404,"Sergey Fedorchenko","M",25,173,68,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Gymnastics","Gymnastics Men's Horse Vault",NA
"67313",34404,"Sergey Fedorchenko","M",25,173,68,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Gymnastics","Gymnastics Men's Horizontal Bar",NA
"67314",34404,"Sergey Fedorchenko","M",25,173,68,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Gymnastics","Gymnastics Men's Pommelled Horse",NA
"67356",34424,"Lyudmila Yevgenyevna Fedotova","F",23,166,56,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Alpine Skiing","Alpine Skiing Women's Downhill",NA
"67357",34424,"Lyudmila Yevgenyevna Fedotova","F",23,166,56,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Alpine Skiing","Alpine Skiing Women's Super G",NA
"67358",34424,"Lyudmila Yevgenyevna Fedotova","F",23,166,56,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Alpine Skiing","Alpine Skiing Women's Giant Slalom",NA
"69264",35304,"Sergey Yuryevich Filimonov","M",25,178,76.5,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Weightlifting","Weightlifting Men's Middleweight",NA
"69265",35304,"Sergey Yuryevich Filimonov","M",29,178,76.5,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Weightlifting","Weightlifting Men's Middleweight","Silver"
"69266",35305,"Stanislav Gennadyevich Filimonov","M",18,180,63,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"69267",35305,"Stanislav Gennadyevich Filimonov","M",18,180,63,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ski Jumping","Ski Jumping Men's Large Hill, Individual",NA
"69268",35305,"Stanislav Gennadyevich Filimonov","M",18,180,63,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ski Jumping","Ski Jumping Men's Large Hill, Team",NA
"69269",35305,"Stanislav Gennadyevich Filimonov","M",22,180,63,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"69270",35305,"Stanislav Gennadyevich Filimonov","M",22,180,63,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ski Jumping","Ski Jumping Men's Large Hill, Individual",NA
"69271",35305,"Stanislav Gennadyevich Filimonov","M",22,180,63,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ski Jumping","Ski Jumping Men's Large Hill, Team",NA
"69272",35306,"Lyubov Aleksandrovna Filimonova","F",21,175,60,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Women's 7.5 kilometres Sprint",NA
"69273",35306,"Lyubov Aleksandrovna Filimonova","F",21,175,60,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Women's 15 kilometres",NA
"69274",35306,"Lyubov Aleksandrovna Filimonova","F",21,175,60,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Women's 4 x 6 kilometres Relay",NA
"69366",35350,"Nikita Viktorovich Filippov","M",20,192,80,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Athletics","Athletics Men's Pole Vault",NA
"69843",35570,"Aleksandra Aleksandrovna Fisher","F",24,174,63,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's Shot Put",NA
"74325",37746,"Artur Fyodorov","M",25,164,65,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Wrestling","Wrestling Men's Bantamweight, Freestyle",NA
"74354",37759,"Dmitry Vladimirovich Gaag","M",29,173,63,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Triathlon","Triathlon Men's Olympic Distance",NA
"74355",37759,"Dmitry Vladimirovich Gaag","M",33,173,63,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Triathlon","Triathlon Men's Olympic Distance",NA
"74536",37861,"Daniyal Magomedovich Gadzhiyev","M",26,176,84,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman","Bronze"
"74901",38011,"Otgontsetseg Galbadrakhyn","F",24,170,63,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Judo","Judo Women's Extra-Lightweight","Bronze"
"75073",38089,"Nataliya Galkina","F",27,165,59,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Women's Water Polo",NA
"75278",38201,"Yuliya Yevgenyevna Galysheva","F",17,167,60,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Freestyle Skiing","Freestyle Skiing Women's Moguls",NA
"75279",38201,"Yuliya Yevgenyevna Galysheva","F",21,167,60,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Freestyle Skiing","Freestyle Skiing Women's Moguls",NA
"75568",38362,"Denis Pavlovich Gankin","M",22,183,68,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Archery","Archery Men's Individual",NA
"76484",38813,"Yekaterina Aydarovna Gariyeva","F",23,175,72,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Water Polo","Water Polo Women's Water Polo",NA
"76969",39058,"Ilfat Gatyatullin","M",18,185,85,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Canoeing","Canoeing Men's Kayak Doubles, 500 metres",NA
"76970",39058,"Ilfat Gatyatullin","M",18,185,85,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres",NA
"77135",39160,"Andrey Gavrilov","M",22,194,80,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 100 metres Butterfly",NA
"77136",39160,"Andrey Gavrilov","M",22,194,80,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 4 x 100 metres Medley Relay",NA
"77137",39160,"Andrey Gavrilov","M",26,194,80,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 100 metres Butterfly",NA
"77142",39165,"Anzhelika Anatolyevna Gavrilova","F",23,178,62,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Speed Skating","Speed Skating Women's 1,500 metres",NA
"77143",39165,"Anzhelika Anatolyevna Gavrilova","F",23,178,62,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Speed Skating","Speed Skating Women's 3,000 metres",NA
"77238",39200,"Pavel Anatolyevich Gayduk","M",21,178,70,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"77239",39200,"Pavel Anatolyevich Gayduk","M",21,178,70,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ski Jumping","Ski Jumping Men's Large Hill, Individual",NA
"77240",39200,"Pavel Anatolyevich Gayduk","M",21,178,70,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ski Jumping","Ski Jumping Men's Large Hill, Team",NA
"77241",39200,"Pavel Anatolyevich Gayduk","M",25,178,70,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"77242",39200,"Pavel Anatolyevich Gayduk","M",25,178,70,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ski Jumping","Ski Jumping Men's Large Hill, Individual",NA
"77243",39200,"Pavel Anatolyevich Gayduk","M",25,178,70,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ski Jumping","Ski Jumping Men's Large Hill, Team",NA
"77244",39201,"Aleksandr Vladimirovich Gaydukov","M",30,184,90,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Water Polo","Water Polo Men's Water Polo",NA
"78125",39671,"Kirill Gennadyevich Gerasimenko","M",19,175,64,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Table Tennis","Table Tennis Men's Singles",NA
"78365",39778,"Svetlana Viktorovna Germanovich","F",25,176,67,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Rowing","Rowing Women's Single Sculls",NA
"78366",39778,"Svetlana Viktorovna Germanovich","F",29,176,67,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Rowing","Rowing Women's Single Sculls",NA
"78512",39846,"Yekaterina Vadimovna Gerzanich","F",28,174,64,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Women's Water Polo",NA
"80417",40814,"Vadim Nikolayevich Glovatsky","M",28,183,90,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"81066",41161,"Ilya Igoryevich Golendov","M",21,185,87,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Men's Kayak Singles, 1,000 metres",NA
"81067",41161,"Ilya Igoryevich Golendov","M",21,185,87,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres",NA
"81188",41211,"Gennady Gennadyevich Golovkin","M",22,180,75,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Boxing","Boxing Men's Middleweight","Silver"
"81190",41213,"Andrey Golovko","M",22,170,66,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"81191",41213,"Andrey Golovko","M",22,170,66,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"81192",41213,"Andrey Golovko","M",22,170,66,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 10/10 kilometres Pursuit",NA
"81193",41213,"Andrey Golovko","M",22,170,66,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"81194",41213,"Andrey Golovko","M",26,170,66,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"81195",41213,"Andrey Golovko","M",26,170,66,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"81196",41213,"Andrey Golovko","M",26,170,66,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's 30 km Skiathlon",NA
"81197",41213,"Andrey Golovko","M",26,170,66,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"81514",41391,"Nataliya Goncharova","F",26,170,54,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Fencing","Fencing Women's epee, Individual",NA
"82241",41768,"Stepan Gorbachov","M",28,171,63,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Men's Individual All-Around",NA
"82242",41768,"Stepan Gorbachov","M",28,171,63,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Men's Floor Exercise",NA
"82243",41768,"Stepan Gorbachov","M",28,171,63,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Men's Parallel Bars",NA
"82244",41768,"Stepan Gorbachov","M",28,171,63,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Men's Horizontal Bar",NA
"82245",41768,"Stepan Gorbachov","M",28,171,63,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Men's Rings",NA
"82246",41768,"Stepan Gorbachov","M",28,171,63,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Men's Pommelled Horse",NA
"82277",41790,"Dmitry Gordiyenko","M",22,180,75,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 200 metres Individual Medley",NA
"82278",41790,"Dmitry Gordiyenko","M",22,180,75,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 400 metres Individual Medley",NA
"82394",41859,"Karina Khavazhevna Goricheva","F",23,160,63,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Weightlifting","Weightlifting Women's Middleweight","Bronze"
"82483",41902,"Sergey Andreyevich Gorovoy","M",29,192,105,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Water Polo","Water Polo Men's Water Polo",NA
"82484",41902,"Sergey Andreyevich Gorovoy","M",36,192,105,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Water Polo","Water Polo Men's Water Polo",NA
"83023",42172,"Mariya Aleksandrovna Grabovetskaya","F",21,180,113,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Weightlifting","Weightlifting Women's Super-Heavyweight","Bronze"
"84570",42930,"Vyacheslav Grigoryev","M",29,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Fencing","Fencing Men's Foil, Individual",NA
"84821",43041,"Marina Aleksandrovna Gritsenko","F",23,173,64,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Water Polo","Water Polo Women's Water Polo",NA
"85508",43350,"Olga Grushko","F",32,180,70,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Volleyball","Volleyball Women's Volleyball",NA
"85756",43482,"Sergey Vladimirovich Gubaryov","M",33,183,93,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Water Polo","Water Polo Men's Water Polo",NA
"85770",43492,"Tatyana Dmitriyevna Gubina","F",22,178,67,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Women's Water Polo",NA
"85771",43492,"Tatyana Dmitriyevna Gubina","F",26,178,67,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Water Polo","Water Polo Women's Water Polo",NA
"86778",44011,"Aleksey Gurman","M",22,174,67,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Diving","Diving Men's Platform",NA
"86783",44013,"Andrey Anatolyevich Gurov","M",29,175,83,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Shooting","Shooting Men's Running Target, 10 metres",NA
"86808",44033,"Lyudmila Guryeva","F",20,166,68,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Biathlon","Biathlon Women's 15 kilometres",NA
"86809",44033,"Lyudmila Guryeva","F",20,166,68,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Biathlon","Biathlon Women's 4 x 7.5 kilometres Relay",NA
"86854",44057,"Vladimir Gushcha","M",33,173,65,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Shooting","Shooting Men's Air Pistol, 10 metres",NA
"86855",44057,"Vladimir Gushcha","M",33,173,65,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Shooting","Shooting Men's Free Pistol, 50 metres",NA
"101901",51531,"Abil Ibragimov","M",19,160,58,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Wrestling","Wrestling Men's Featherweight, Freestyle",NA
"101907",51536,"Mamed Pashayevich Ibragimov","M",24,171,97,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Wrestling","Wrestling Men's Heavyweight, Freestyle",NA
"101911",51538,"Rinat Khisayevich Ibragimov","M",22,181,73,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Judo","Judo Men's Lightweight",NA
"101912",51538,"Rinat Khisayevich Ibragimov","M",26,181,73,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Judo","Judo Men's Lightweight",NA
"101971",51578,"Yermakhan Sagiyevich Ibraimov","M",24,180,71,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Boxing","Boxing Men's Light-Middleweight","Bronze"
"101972",51578,"Yermakhan Sagiyevich Ibraimov","M",28,180,71,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Boxing","Boxing Men's Light-Middleweight","Gold"
"102178",51691,"Maksim Gennadyevich Iglinsky","M",23,173,70,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Cycling","Cycling Men's Road Race, Individual",NA
"102179",51691,"Maksim Gennadyevich Iglinsky","M",27,173,70,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Cycling","Cycling Men's Road Race, Individual",NA
"102225",51711,"Nataliya Yuryevna Ignatyeva","F",22,168,56,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Women's Water Polo",NA
"102226",51711,"Nataliya Yuryevna Ignatyeva","F",25,168,56,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Water Polo","Water Polo Women's Water Polo",NA
"102408",51792,"Yeldos Zhakhmanovich Ikhsangaliyev","M",26,180,138,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Judo","Judo Men's Heavyweight",NA
"102409",51792,"Yeldos Zhakhmanovich Ikhsangaliyev","M",30,180,138,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Judo","Judo Men's Heavyweight",NA
"102604",51907,"Pavel Aleksandrovich Ilyashenko","M",22,181,76,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Modern Pentathlon","Modern Pentathlon Men's Individual",NA
"102605",51907,"Pavel Aleksandrovich Ilyashenko","M",26,181,76,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Modern Pentathlon","Modern Pentathlon Men's Individual",NA
"102619",51915,"Ilya Aleksandrovich Ilyin","M",20,175,94,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Weightlifting","Weightlifting Men's Middle-Heavyweight","Gold"
"102620",51915,"Ilya Aleksandrovich Ilyin","M",24,175,94,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Weightlifting","Weightlifting Men's Middle-Heavyweight","Gold"
"102649",51928,"Kseniya Ilyuchshenko","F",29,180,70,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Volleyball","Volleyball Women's Volleyball",NA
"102653",51930,"Yelena Ilyukhina","F",26,171,67,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Handball","Handball Women's Handball",NA
"102654",51931,"Sergey Ilyushchenko","M",22,182,78,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Speed Skating","Speed Skating Men's 5,000 metres",NA
"102797",52008,"Aset Zhumashovich Imanbayev","M",26,160,55,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Wrestling","Wrestling Men's Featherweight, Greco-Roman",NA
"103102",52161,"Baglan Bakhytovich Inkarbek","M",19,170,68,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Freestyle Skiing","Freestyle Skiing Men's Aerials",NA
"103584",52410,"Nataliya Isachenko","F",22,166,58,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's Sprint",NA
"103585",52410,"Nataliya Isachenko","F",22,166,58,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 15 kilometres",NA
"103586",52410,"Nataliya Isachenko","F",26,166,58,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's Sprint",NA
"103587",52410,"Nataliya Isachenko","F",26,166,58,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's 10 kilometres",NA
"103588",52410,"Nataliya Isachenko","F",26,166,58,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",NA
"103589",52411,"Vladimir Nikolayevich Isachenko","M",21,194,90,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Shooting","Shooting Men's Air Pistol, 10 metres",NA
"103590",52411,"Vladimir Nikolayevich Isachenko","M",21,194,90,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Shooting","Shooting Men's Free Pistol, 50 metres",NA
"103591",52411,"Vladimir Nikolayevich Isachenko","M",33,194,90,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Shooting","Shooting Men's Air Pistol, 10 metres",NA
"103592",52411,"Vladimir Nikolayevich Isachenko","M",33,194,90,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Shooting","Shooting Men's Free Pistol, 50 metres",NA
"103650",52437,"Gulzhan Abdildabekovna Isanova","F",24,167,94,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Judo","Judo Women's Heavyweight",NA
"103651",52437,"Gulzhan Abdildabekovna Isanova","F",28,167,94,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Judo","Judo Women's Heavyweight",NA
"103814",52533,"Korina Sergeyevna Ishimtseva","F",24,184,73,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Volleyball","Volleyball Women's Volleyball",NA
"103870",52556,"Gulzira Iskakova","F",19,169,60,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Handball","Handball Women's Handball",NA
"104044",52648,"Sergey Istomin","M",22,180,105,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Weightlifting","Weightlifting Men's Heavyweight",NA
"104370",52810,"Ivan Ivanov","M",24,202,144,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Men's Shot Put",NA
"104401",52827,"Nikolay Ivanov","M",22,177,77,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 10 kilometres",NA
"104402",52827,"Nikolay Ivanov","M",22,177,77,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",NA
"104403",52827,"Nikolay Ivanov","M",22,177,77,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"104404",52827,"Nikolay Ivanov","M",22,177,77,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 10/15 kilometres Pursuit",NA
"104405",52827,"Nikolay Ivanov","M",22,177,77,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"104427",52842,"Valery Ivanov","M",28,190,75,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Biathlon","Biathlon Men's 10 kilometres Sprint",NA
"104428",52842,"Valery Ivanov","M",28,190,75,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Biathlon","Biathlon Men's 20 kilometres",NA
"104429",52842,"Valery Ivanov","M",28,190,75,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay",NA
"104479",52874,"Yelena Ivanova","F",22,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Diving","Diving Women's Springboard",NA
"104577",52930,"Nataliya Evgenyevna Ivoninskaya","F",23,175,60,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's 100 metres Hurdles",NA
"104578",52930,"Nataliya Evgenyevna Ivoninskaya","F",27,175,60,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's 100 metres Hurdles",NA
"112080",56760,"Aslan Bayramaliyevich Kakhidze","M",27,185,86,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Wrestling","Wrestling Men's Light-Heavyweight, Freestyle",NA
"112362",56891,"Sholpan Seydullayevna Kaliyeva","F",24,157,52,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Judo","Judo Women's Half-Lightweight",NA
"112363",56891,"Sholpan Seydullayevna Kaliyeva","F",28,157,52,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Judo","Judo Women's Half-Lightweight",NA
"112516",56977,"Dmitry Nikolayevich Kaltenberger","M",32,180,84,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Canoeing","Canoeing Men's Kayak Doubles, 500 metres",NA
"112645",57062,"Pavel Gennadyevich Kamentsev","M",28,182,75,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
